                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     14,                0.57466,                0.89335,                0.91651,                0.95225,                0.91701,                0.96639,                0.86231,                 0.5075,                0.84033,                0.86834,             0.00096801,             0.00096801,             0.00096801
                     15,                0.55189,                0.84951,                0.92611,                0.92066,                0.91719,                0.95174,                0.83203,                0.54144,                0.85673,                0.89288,             0.00095702,             0.00095702,             0.00095702
                     16,                0.57129,                0.82424,                0.93401,                0.92007,                0.92322,                 0.9789,                 0.8735,                0.49786,                0.81142,                 0.8652,             0.00094602,             0.00094602,             0.00094602
                     17,                0.53056,                0.79142,                0.91369,                 0.9026,                0.99632,                0.98117,                0.88335,                0.49192,                0.78064,                0.87587,             0.00093502,             0.00093502,             0.00093502
                     18,                0.52101,                0.80332,                 0.9227,                0.97147,                0.92832,                0.98969,                0.88791,                 0.5008,                0.73568,                0.86352,             0.00092402,             0.00092402,             0.00092402
                     19,                0.53569,                0.81541,                0.91547,                0.97092,                0.95279,                0.99053,                0.88935,                0.48328,                0.67793,                0.85924,             0.00091302,             0.00091302,             0.00091302
                     20,                0.51169,                0.72003,                0.89874,                0.97822,                0.98394,                  0.995,                0.88267,                0.48793,                0.61969,                0.88488,             0.00090202,             0.00090202,             0.00090202
                     21,                0.51819,                0.69809,                0.90027,                 0.9644,                 0.9939,                  0.995,                0.87616,                0.49543,                0.64727,                0.88338,             0.00089102,             0.00089102,             0.00089102
                      1,                 3.8222,                 3.9677,                 3.1187,                0.20086,                0.03581,                0.02824,                0.00741,                 3.2582,                 4.0135,                 2.7159,              4.444e-05,              4.444e-05,              4.444e-05
                      2,                 3.4348,                 3.6808,                 2.5628,                0.18703,                0.04695,                0.05286,                0.01666,                 2.7121,                  3.623,                   2.12,                9.9e-05,                9.9e-05,                9.9e-05
                      3,                 2.7754,                 3.1335,                 1.8795,                0.24412,                0.31827,                0.21167,                0.08961,                 2.0227,                 2.5563,                 1.4474,             0.00015246,             0.00015246,             0.00015246
                      4,                 2.1781,                 2.4628,                 1.3511,                0.32158,                0.41806,                0.31748,                0.13208,                 1.9925,                 2.4811,                 1.3847,             0.00020482,             0.00020482,             0.00020482
                      5,                 2.0349,                 2.0968,                 1.2998,                0.30776,                 0.5801,                0.38826,                0.16123,                 1.9628,                 3.0945,                 1.3619,             0.00025608,             0.00025608,             0.00025608
                      6,                 1.9329,                  1.856,                 1.2473,                0.36385,                0.54779,                0.41131,                0.18057,                 1.8441,                 3.6519,                  1.305,             0.00030624,             0.00030624,             0.00030624
                      7,                 1.8411,                 1.7096,                 1.2045,                0.40776,                0.56613,                0.46467,                0.20865,                 1.7282,                  4.241,                 1.2571,              0.0003553,              0.0003553,              0.0003553
                      8,                 1.7749,                 1.6304,                 1.1761,                0.45379,                0.59656,                0.49713,                0.23125,                 1.6716,                  4.295,                 1.2252,             0.00040326,             0.00040326,             0.00040326
                      9,                 1.7627,                 1.5699,                 1.1894,                0.48199,                 0.5964,                0.53293,                0.26117,                 1.5923,                 3.1659,                 1.1845,             0.00045012,             0.00045012,             0.00045012
                     10,                 1.6275,                 1.4953,                 1.1243,                  0.512,                0.65091,                0.58808,                0.28924,                 1.5386,                 2.0263,                 1.1678,             0.00049588,             0.00049588,             0.00049588
                     11,                  1.725,                  1.494,                 1.1424,                0.56443,                0.65255,                0.62904,                0.31631,                 1.5082,                 1.4725,                 1.1574,             0.00054055,             0.00054055,             0.00054055
